CASE_CODE_TYPE,CASE_CODE,CASE_CODE_TITLE,Hierarchy_level,Sort_sequence
even,1,VIOLENCE AND OTHER INJURIES BY PERSONS OR ANIMALS,1,1
even,10,"Violence and other injuries by persons or animals, unspecified",2,2
even,11,Intentional injury by person,2,3
even,110,"Intentional injury by person, unspecified",3,4
even,111,Intentional injury by other person,3,5
even,1110,"Intentional injury by other person, unspecified",4,6
even,1111,Shooting by other person—intentional,4,7
even,1112,"Stabbing, cutting, slashing, piercing",4,8
even,1113,"Hitting, kicking, beating, shoving",4,9
even,1114,Strangulation by other person,4,10
even,1115,"Bombing, arson",4,11
even,1116,"Rape, sexual assault ",4,12
even,1117,"Threat, verbal assault",4,13
even,1118,Multiple violent acts by other person,4,14
even,1119,"Intentional injury by other person, n.e.c.",4,15
even,112,Self-inflicted injury—intentional ,3,16
even,1120,"Self-inflicted injury—intentional, unspecified",4,17
even,1121,Shooting—intentional self-harm,4,18
even,1122,"Hanging, strangulation, asphyxiation—intentional self-harm",4,19
even,1123,Jumping from building or other structure—intentional self-harm,4,20
even,1124,"Cutting, stabbing—intentional self-harm",4,21
even,1125,Drug overdose—intentional self-harm,4,22
even,1126,Inhalation of substance—intentional self-harm,4,23
even,1129,"Self-inflicted injury—intentional, n.e.c.",4,24
even,12,Injury by person—unintentional or intent unknown,2,25
even,120,"Injury by person—unintentional or intent unknown, unspecified",3,26
even,121,Injury by other person—unintentional or intent unknown,3,27
even,1210,"Injury by other person—unintentional or intent unknown, unspecified  ",4,28
even,1211,Shooting by other person—unintentional ,4,29
even,1212,Injured by physical contact with other person in sporting event or physical training,4,30
even,1213,Injured by physical contact during horseplay ,4,31
even,1214,"Injured by physical contact with person while restraining, subduing—unintentional",4,32
even,1215,Injured by physical contact with person while moving that person—unintentional ,4,33
even,1218,Multiple unintentional injuries by other person,4,34
even,1219,"Injury by other person—unintentional or intent unknown, n.e.c.",4,35
even,122,Self-inflicted injury—unintentional or intent unknown,3,36
even,1220,"Self-inflicted injury—unintentional or intent unknown, unspecified",4,37
even,1221,Self-inflicted shooting—unintentional,4,38
even,1222,Self-inflicted shooting—intent unknown,4,39
even,1223,Self-tasered—unintentional,4,40
even,1224,Drug overdose—intent unknown,4,41
even,1229,"Self-inflicted injury—unintentional or intent unknown, n.e.c.",4,42
even,129,"Injury by person—unintentional or intent unknown, n.e.c.",3,43
