CASE_CODE_TYPE,CASE_CODE,CASE_CODE_TITLE,Hierarchy_level,Sort_sequence
natu,1,TRAUMATIC INJURIES AND DISORDERS,1,1
natu,10,"Traumatic injuries and disorders, unspecified",2,2
natu,11,"Traumatic injuries to bones, nerves, spinal cord",2,3
natu,110,"Traumatic injuries to bones, nerves, spinal cord, unspecified",3,4
natu,111,Fractures,3,5
natu,112,Traumatic injuries to spinal cord,3,6
natu,1120,"Traumatic injuries to spinal cord, unspecified",4,7
natu,1121,"Paralysis, paraplegia, quadriplegia",4,8
natu,1129,"Traumatic injuries to spinal cord, n.e.c.",4,9
natu,113,"Traumatic injuries to nerves, except the spinal cord",3,10
natu,1130,"Traumatic injuries to nerves, except the spinal cord, unspecified",4,11
natu,1131,Pinched nerve ,4,12
natu,1139,"Traumatic injuries to nerves, except the spinal cord, n.e.c.",4,13
natu,118,"Multiple traumatic injuries to bones, nerves, spinal cord",3,14
natu,119,"Traumatic injuries to bones, nerves, spinal cord, n.e.c.",3,15
natu,12,"Traumatic injuries to muscles, tendons, ligaments, joints, etc.",2,16
natu,120,"Traumatic injuries to muscles, tendons, ligaments, joints, etc., unspecified",3,17
natu,121,Dislocations,3,18
natu,1210,"Dislocations, unspecified",4,19
natu,1211,Herniated discs,4,20
natu,1212,Dislocation of joints,4,21
natu,1218,Multiple types of dislocations,4,22
natu,1219,"Dislocations, n.e.c.",4,23
natu,122,Cartilage fractures and tears,3,24
natu,1220,"Cartilage fractures and tears, unspecified",4,25
natu,1221,Meniscus tears,4,26
natu,1229,"Cartilage fractures and tears, n.e.c.",4,27
natu,123,"Sprains, strains, tears",3,28
natu,1230,"Sprains, strains, tears, unspecified",4,29
natu,1231,"Major tears to muscles, tendons, ligaments",4,30
natu,1232,Sprains,4,31
natu,1233,Strains,4,32
natu,1238,"Multiple sprains, strains, tears",4,33
natu,124,Hernias due to traumatic incidents,3,34
natu,125,Whiplash,3,35
natu,128,"Multiple traumatic injuries to muscles, tendons, ligaments, joints, etc.",3,36
natu,129,"Traumatic injuries to muscles, tendons, ligaments, joints, etc., n.e.c.",3,37
natu,13,Open wounds,2,38
natu,130,"Open wounds, unspecified",3,39
natu,131,"Amputations, avulsions, enucleations",3,40
natu,1310,"Amputations, avulsions, enucleations, unspecified",4,41
natu,1311,Amputations,4,42
natu,1312,"Avulsions, enucleations",4,43
natu,1319,"Amputations, avulsions, enucleations, n.e.c.",4,44
natu,132,"Cuts, lacerations",3,45
natu,133,"Puncture wounds, except gunshot wounds",3,46
natu,134,Gunshot wounds,3,47
natu,138,Multiple types of open wounds,3,48
natu,139,"Open wounds, n.e.c.",3,49
natu,14,Surface wounds and bruises,2,50
natu,140,"Surface wounds and bruises, unspecified",3,51
natu,141,"Abrasions, scratches",3,52
natu,142,Blisters,3,53
natu,143,"Bruises, contusions",3,54
natu,148,Multiple surface wounds and bruises,3,55
natu,149,"Surface wounds and bruises, n.e.c.",3,56
natu,15,Burns and corrosions,2,57
natu,150,"Burns and corrosions, unspecified ",3,58
natu,151,Chemical burns and corrosions,3,59
natu,1510,"Chemical burns and corrosions, unspecified",4,60
natu,1511,First degree chemical burns and corrosions,4,61
natu,1512,Second degree chemical burns and corrosions,4,62
natu,1513,Third or fourth degree chemical burns and corrosions,4,63
natu,1519,"Chemical burns and corrosions, n.e.c.",4,64
natu,152,Heat (thermal) burns,3,65
natu,1520,"Heat (thermal) burns, unspecified",4,66
natu,1521,First degree heat (thermal) burns,4,67
natu,1522,Second degree heat (thermal) burns,4,68
natu,1523,Third or fourth degree heat (thermal) burns,4,69
natu,1529,"Heat (thermal) burns, n.e.c.",4,70
natu,153,Electrical burns,3,71
natu,1530,"Electrical burns, unspecified",4,72
natu,1531,First degree electrical burns,4,73
natu,1532,Second degree electrical burns,4,74
natu,1533,Third or fourth degree electrical burns,4,75
natu,1539,"Electrical burns, n.e.c.",4,76
natu,159,Other burns,3,77
natu,1590,"Other burns, unspecified",4,78
natu,1591,"Other burns, first degree",4,79
natu,1592,"Other burns, second degree",4,80
natu,1593,"Other burns, third or fourth degree",4,81
natu,1599,"Other burns, n.e.c.",4,82
natu,16,Intracranial injuries,2,83
natu,160,"Intracranial injuries, unspecified",3,84
natu,161,Cerebral and other intracranial hemorrhages,3,85
natu,162,Concussions,3,86
natu,168,Multiple types of intracranial injuries,3,87
natu,1680,"Multiple intracranial injuries, unspecified",4,88
natu,1681,Skull fracture and intracranial injury,4,89
natu,1689,"Multiple intracranial injuries, n.e.c.",4,90
natu,169,"Intracranial injuries, n.e.c.",3,91
natu,17,Effects of environmental conditions,2,92
natu,170,"Effects of environmental conditions, unspecified",3,93
natu,171,Effects of reduced temperature,3,94
natu,1710,"Effects of reduced temperature, unspecified",4,95
natu,1711,Frostbite,4,96
natu,1712,Hypothermia,4,97
natu,1718,Multiple effects of reduced temperature,4,98
natu,1719,"Effects of reduced temperature, n.e.c.",4,99
natu,172,Effects of heat and light,3,100
natu,1720,"Effects of heat and light, unspecified",4,101
natu,1721,Heat stroke,4,102
natu,1722,Heat syncope,4,103
natu,1723,Heat fatigue,4,104
natu,1724,Heat edema,4,105
natu,1725,"Heat exhaustion, prostration",4,106
natu,1728,Multiple effects of heat and light,4,107
natu,1729,"Effects of heat and light, n.e.c.",4,108
natu,173,Effects of air or water pressure,3,109
natu,1730,"Effects of air or water pressure, unspecified",4,110
natu,1731,Aero-otitis media,4,111
natu,1732,Aerosinusitis,4,112
natu,1733,"Caisson disease, bends, divers' palsy",4,113
natu,1738,Multiple effects of air or water pressure,4,114
natu,1739,"Effects of air or water pressure, n.e.c.",4,115
natu,178,Multiple effects of environmental conditions,3,116
natu,179,"Effects of environmental conditions, n.e.c.",3,117
natu,18,Multiple traumatic injuries and disorders,2,118
natu,180,"Multiple traumatic injuries and disorders, unspecified",3,119
natu,181,Cuts and abrasions or bruises,3,120
natu,182,Sprains and other injuries,3,121
natu,1820,"Sprains and other injuries, unspecified",4,122
natu,1821,Sprains and bruises,4,123
natu,1822,Sprains and cuts,4,124
natu,1829,"Sprains and other injuries, n.e.c.",4,125
natu,183,Fractures and other injuries,3,126
natu,1830,"Fractures and other injuries, unspecified",4,127
natu,1831,Fractures (except skull fractures) and concussions ,4,128
natu,1832,"Fractures (except rib, trunk fractures) and internal injuries ",4,129
natu,1833,Fractures and burns,4,130
natu,1834,Fractures and dislocations,4,131
natu,1839,"Fractures and other injuries, n.e.c.",4,132
natu,184,"Burns and other injuries, except fractures",3,133
natu,1840,"Burns and other injuries, except fractures, unspecified",4,134
natu,1841,Burns and smoke inhalation,4,135
natu,1849,"Burns and other injuries, n.e.c.",4,136
natu,185,Intracranial injuries and injuries to internal organs,3,137
natu,189,"Multiple traumatic injuries and disorders, n.e.c.",3,138
natu,19,Other traumatic injuries and disorders,2,139
natu,190,"Other traumatic injuries and disorders, unspecified",3,140
natu,191,"Asphyxiations, strangulations, suffocations",3,141
natu,192,Drownings,3,142
natu,193,"Electrocutions, electric shocks",3,143
natu,194,Internal injuries to organs and blood vessels of the trunk,3,144
natu,195,Dermatitis and reactions affecting the skin—acute,3,145
natu,1950,"Dermatitis and reactions affecting the skin—acute, unspecified",4,146
natu,1951,Allergic dermatitis—acute ,4,147
natu,1952,Irritant dermatitis—acute,4,148
natu,1953,"Hives, urticaria—acute",4,149
natu,1958,Multiple types of dermatitis and skin reactions—acute,4,150
natu,1959,"Dermatitis and reactions affecting the skin—acute, n.e.c.",4,151
natu,196,"Other poisoning, toxic, noxious, or allergenic effects",3,152
natu,1960,"Poisoning, toxic, noxious, or allergenic effect, unspecified",4,153
natu,1961,"Poisoning, including poisoning-related asphyxia",4,154
natu,1962,"Anaphylactic shock, anaphylaxis",4,155
natu,1963,"Other respiratory system symptoms—toxic, noxious, or allergenic effect ",4,156
natu,1964,"Coughing and throat irritation— toxic, noxious, or allergenic effect",4,157
natu,1965,"Dizziness, lightheadedness, headache—toxic, noxious, or allergenic effect",4,158
natu,1966,Other or unspecified allergic reactions ,4,159
natu,1967,"Nausea, vomiting— toxic, noxious, or allergenic effect",4,160
natu,1968,"Multiple poisoning, toxic, noxious, or allergenic effects",4,161
natu,1969,"Other poisoning, toxic, noxious, or allergenic effects, n.e.c.",4,162
natu,197,Nonspecified injuries and disorders,3,163
natu,1971,Crushing injuries,4,164
natu,1972,"Soreness, pain, hurt—nonspecified injury",4,165
natu,1973,"Swelling, inflammation, irritation—nonspecified injury",4,166
natu,1974,Numbness—nonspecified injury,4,167
natu,1978,Multiple nonspecified injuries and disorders,4,168
natu,1979,"Nonspecified injuries and disorders, n.e.c.",4,169
natu,199,"Other traumatic injuries and disorders, n.e.c.",3,170
natu,1991,Traumatic shock ,4,171
natu,1992,"Embolism, air or fat",4,172
natu,1999,"Traumatic injuries and disorders, n.e.c.",4,173
natu,2,DISEASES AND DISORDERS OF BODY SYSTEMS,1,174
natu,20,"Systemic diseases and disorders, unspecified",2,175
natu,21,Anemia and other diseases of the blood and blood forming organs,2,176
natu,22,Nervous system and sense organs diseases,2,177
natu,220,"Nervous system and sense organs diseases, unspecified",3,178
natu,221,Inflammatory diseases of the central nervous system,3,179
natu,222,Degenerative diseases of the central nervous system,3,180
natu,223,Other disorders of the central nervous system,3,181
natu,2230,"Other disorders of the central nervous system, unspecified",4,182
natu,2231,"Seizure disorder, epilepsy",4,183
natu,2232,Migraine,4,184
natu,2239,"Other disorders of the central nervous system, n.e.c.",4,185
natu,224,Disorders of the peripheral nervous system,3,186
