CASE_CODE_TYPE,CASE_CODE,CASE_CODE_TITLE,Hierarchy_level,Sort_sequence
sour,1,CHEMICALS AND CHEMICAL PRODUCTS,1,1
sour,10,"Chemicals and chemical products, unspecified",2,2
sour,11,Acids and alkalies,2,3
sour,110,"Acids and alkalies, unspecified",3,4
sour,111,Acids,3,5
sour,1110,"Acids, unspecified",4,6
sour,1111,"Acetic acid, vinegar",4,7
sour,1112,"Hydrogen chloride, hydrochloric acid",4,8
sour,1113,"Hydrogen fluoride, hydrofluoric acid",4,9
sour,1114,Nitric acid,4,10
sour,1115,Sulfuric acid,4,11
sour,1118,Multiple acids,4,12
sour,1119,"Acids, n.e.c.",4,13
sour,112,Alkalies,3,14
sour,1120,"Alkalies, unspecified",4,15
sour,1121,"Cement, mortar mix—dry",4,16
sour,1122,"Cement, mortar mix—wet",4,17
sour,1123,Lime,4,18
sour,1124,"Limestone, calcium carbonate",4,19
sour,1125,"Sodium and potassium hydroxide, potassium carbonate",4,20
sour,1128,Multiple alkalies,4,21
sour,1129,"Alkalies, n.e.c.",4,22
sour,12,"Aromatics and hydrocarbon derivatives, except halogenated",2,23
sour,120,"Aromatics and hydrocarbon derivatives, except halogenated,  unspecified",3,24
sour,121,Alcohols,3,25
sour,1210,"Alcohols, unspecified",4,26
sour,1211,Antifreeze,4,27
sour,1212,Ethanol,4,28
sour,1213,Ethylene glycol,4,29
sour,1214,Methanol,4,30
sour,1219,"Alcohols, n.e.c.",4,31
sour,122,Aldehydes,3,32
sour,1220,"Aldehydes, unspecified",4,33
sour,1221,Formaldehyde,4,34
sour,1222,Glutaraldehyde,4,35
sour,1229,"Aldehydes, n.e.c.",4,36
sour,123,Aromatics,3,37
sour,1230,"Aromatics, unspecified",4,38
sour,1231,Benzene,4,39
sour,1232,Hydroquinone,4,40
sour,1233,Toluene,4,41
sour,1234,Xylene,4,42
sour,1235,Phenol ,4,43
sour,1236,Styrene,4,44
sour,1239,"Aromatics, n.e.c.",4,45
sour,124,Ketones,3,46
sour,1240,"Ketones, unspecified",4,47
sour,1241,Acetone,4,48
sour,1242,Diacetyl,4,49
sour,1243,Methyl ethyl ketone,4,50
sour,1244,Methyl n-butyl ketone,4,51
sour,1249,"Ketones, n.e.c.",4,52
sour,128,"Multiple aromatics and hydrocarbon derivatives, except halogenated",3,53
sour,129,"Other aromatics and hydrocarbon derivatives, except halogenated",3,54
sour,1291,Acrylamide,4,55
sour,1292,Acrylonitrile,4,56
sour,1293,Dimethylformamide,4,57
sour,1294,Dioxane,4,58
sour,1295,Ethylene oxide,4,59
sour,1296,"Nitro hydrocarbons, except aromatic ",4,60
sour,1299,"Aromatics and hydrocarbon derivatives, except halogenated, n.e.c.",4,61
sour,13,Halogens and halogen compounds,2,62
sour,130,"Halogens and halogen compounds, unspecified",3,63
sour,131,Chlorine and chlorine compounds,3,64
sour,1310,"Chlorine compounds, unspecified",4,65
sour,1311,"Chlorine, chlorine bleach",4,66
sour,1312,Dichloromethane,4,67
sour,1313,Perchloroethylene,4,68
